study_hours,attendance,assignments_score,previous_score,performance_score
4.370861069626262640e+00,4.188575114120405374e+01,7.000000000000000000e+01,6.510614062810397229e+01,5.386055615120579887e+01
9.556428757689245046e+00,7.818462467582682507e+01,3.000000000000000000e+01,8.588066252767426079e+01,7.568560807394300127e+01
7.587945476302645709e+00,5.886135886457959998e+01,1.000000000000000000e+02,7.549747515444356338e+01,7.635354493366372708e+01
6.387926357773329400e+00,7.051424146988216535e+01,0.000000000000000000e+00,7.913768140803924211e+01,5.657675979280033829e+01
2.404167763981928552e+00,9.445398843556557722e+01,7.000000000000000000e+01,8.570548686052707410e+01,6.625237211596895293e+01
2.403950683025823931e+00,5.495753374893249799e+01,3.000000000000000000e+01,9.230037392722964285e+01,5.002632896811800833e+01
1.522752509513795260e+00,6.462297538213778125e+01,5.000000000000000000e+01,5.365966097960750858e+01,4.413891661897771002e+01
8.795585311974416953e+00,8.533306831258292391e+01,7.000000000000000000e+01,5.629080668479608107e+01,7.579272468526799855e+01
6.410035105688879575e+00,5.372788992949735132e+01,3.000000000000000000e+01,3.657873578886083266e+01,4.780676174665618561e+01
7.372653200164409171e+00,4.461879458972757817e+01,2.000000000000000000e+01,7.047960986973217246e+01,5.489256071535816517e+01
1.185260448662222021e+00,5.738508717482608290e+01,8.000000000000000000e+01,3.251595916577194600e+01,4.203104293113617018e+01
9.729188669457949246e+00,4.967327723524026339e+01,2.000000000000000000e+01,6.259186126927220784e+01,6.125385063450196554e+01
8.491983767203794997e+00,9.578185914055438843e+01,8.000000000000000000e+01,6.798512442953037294e+01,8.241769719413258599e+01
2.911051996104485617e+00,8.848722277386501389e+01,1.000000000000000000e+01,5.005788764897990717e+01,4.536943359402469156e+01
2.636424704863905788e+00,7.800422539062540750e+01,1.000000000000000000e+01,7.135832823983075457e+01,4.724991252220576143e+01
2.650640588680904131e+00,9.228763541126306791e+01,1.000000000000000000e+01,3.213501749573345734e+01,4.105758499279184548e+01
3.738180186635839508e+00,8.822032461394687175e+01,5.000000000000000000e+01,3.261437321244500964e+01,5.142321501650548754e+01
5.722807884690140234e+00,5.119420353316215255e+01,2.000000000000000000e+01,8.758203924617608038e+01,5.586248434890497094e+01
4.887505167779041315e+00,9.355353990939866549e+01,8.000000000000000000e+01,5.521334489878840657e+01,6.785423670538389729e+01
3.621062261782377334e+00,7.236053451493904731e+01,3.000000000000000000e+01,3.889423588563193590e+01,4.467687938548987603e+01
6.506676052501415342e+00,8.844640930984374450e+01,0.000000000000000000e+00,6.655702820383629614e+01,5.827088753592425974e+01
2.255444745868376621e+00,9.376547799540959716e+01,3.000000000000000000e+01,8.389954871690275695e+01,5.718259091568322106e+01
3.629301836816963167e+00,5.908020849831183341e+01,0.000000000000000000e+00,4.510747192477901990e+01,3.693482561622360549e+01
4.297256589643225766e+00,4.660311547166060819e+01,4.000000000000000000e+01,7.360233330733001367e+01,5.094313196367733099e+01
5.104629857953323580e+00,5.367610975251650274e+01,3.000000000000000000e+01,3.597432254956375886e+01,4.372649764938003614e+01
8.066583652537122617e+00,6.562646731757537566e+01,7.000000000000000000e+01,3.361772048180253591e+01,6.301079790745584575e+01
